,City,FAA,IATA,ICAO,Airport,Role,Enplanements,State
397,BELLINGHAM,BLI,BLI,KBLI,Bellingham International Airport,P-N,415285.0,WASHINGTON
398,EASTSOUND,ORS,ESD,KORS,Orcas Island Airport,P-N,7826.0,WASHINGTON
399,FRIDAY HARBOR,FHR,FRD,KFHR,Friday Harbor Airport,P-N,12831.0,WASHINGTON
400,PASCO,PSC,PSC,KPSC,Tri-Cities Airport,P-N,374301.0,WASHINGTON
401,"PULLMAN / MOSCOW, IDAHO",PUW,PUW,KPUW,Pullman/Moscow Regional Airport,P-N,61833.0,WASHINGTON
402,SEATTLE,BFI,BFI,KBFI,King County International Airport (Boeing Field),P-N,17795.0,WASHINGTON
403,SEATTLE / TACOMA (SEATAC),SEA,SEA,KSEA,Seattle–Tacoma International Airport,P-L,21887110.0,WASHINGTON
404,SPOKANE,GEG,GEG,KGEG,Spokane International Airport (Geiger Field),P-S,1570652.0,WASHINGTON
405,WALLA WALLA,ALW,ALW,KALW,Walla Walla Regional Airport,P-N,47439.0,WASHINGTON
406,WENATCHEE,EAT,EAT,KEAT,Pangborn Memorial Airport,P-N,60068.0,WASHINGTON
407,YAKIMA,YKM,YKM,KYKM,Yakima Air Terminal (McAllister Field),P-N,70993.0,WASHINGTON
409,CHARLESTON,CRW,CRW,KCRW,Yeager Airport,P-N,213412.0,WEST VIRGINIA
410,CLARKSBURG,CKB,CKB,KCKB,North Central West Virginia Airport (was Harrison-Marion Regional),P-N,26025.0,WEST VIRGINIA
411,HUNTINGTON,HTS,HTS,KHTS,Tri-State Airport (Milton J. Ferguson Field),P-N,98489.0,WEST VIRGINIA
412,LEWISBURG,LWB,LWB,KLWB,Greenbrier Valley Airport,P-N,4965.0,WEST VIRGINIA
414,APPLETON,ATW,ATW,KATW,Appleton International Airport,P-N,348026.0,WISCONSIN
415,EAU CLAIRE,EAU,EAU,KEAU,Chippewa Valley Regional Airport,P-N,23950.0,WISCONSIN
416,GREEN BAY,GRB,GRB,KGRB,Green Bay–Austin Straubel International Airport,P-N,314909.0,WISCONSIN
417,LA CROSSE,LSE,LSE,KLSE,La Crosse Regional Airport,P-N,99651.0,WISCONSIN
418,MADISON,MSN,MSN,KMSN,Dane County Regional Airport (Truax Field),P-S,1043185.0,WISCONSIN
419,MILWAUKEE,MKE,MKE,KMKE,Milwaukee Mitchell International Airport,P-M,3496724.0,WISCONSIN
